iter	RMSE
0	974.4970077
1	958.1511219
2	943.6351121
3	927.5106598
4	913.2714087
5	897.3195226
6	880.6232566
7	863.5901121
8	848.6767244
9	838.4952266
10	823.867228
11	812.5499555
12	797.5448006
13	782.5154051
14	769.7081226
15	757.6383996
16	744.5264613
17	729.6152041
18	717.364792
19	705.4911102
20	693.6169768
21	683.3738167
22	672.0384989
23	660.8691638
24	653.0783029
25	642.6449197
26	630.669277
27	619.6913037
28	608.5555384
29	599.66225
30	589.8911154
31	580.4630573
32	570.5228141
33	562.7794333
34	552.3552697
35	543.747295
36	535.4107496
37	526.9470547
38	518.3730982
39	511.672052
40	504.3627041
41	497.1396388
42	489.5570785
43	481.8973826
44	475.314261
45	467.2109411
46	460.7913579
47	454.9532139
48	447.2337982
49	440.3716951
50	434.4743596
51	427.6977133
52	422.1777592
53	414.2567471
54	407.486141
55	401.4248091
56	394.7648898
57	388.9279616
58	383.900101
59	377.0788018
60	371.6822057
61	365.36727
62	359.9052024
63	354.7045192
64	349.85437
65	345.0136845
66	340.7892584
67	336.4873217
68	331.3082483
69	326.0024906
70	321.6021
71	317.2901568
72	313.8035676
73	309.7465595
74	306.3695985
75	302.4864678
76	297.9918157
77	293.4035778
78	289.2349918
79	285.1779612
80	281.8435437
81	278.8103133
82	274.7973979
83	270.1840939
84	266.4282004
85	263.5786635
86	259.8106282
87	257.1073359
88	252.7549104
89	249.659634
90	246.1485855
91	242.7074003
92	240.1159587
93	237.7013742
94	234.7014212
95	231.4580682
96	228.5941098
97	225.9420058
98	223.0974068
99	220.7808577
100	217.1844465
101	214.6708554
102	212.41768
103	209.6910617
104	207.0334281
105	204.4589942
106	202.2450194
107	199.9418524
108	197.1639425
109	195.0444816
110	192.558406
111	189.6343756
112	187.1309031
113	184.8465793
114	182.4323011
115	180.3350564
116	177.6041421
117	175.712648
118	174.1170062
119	172.0879874
120	169.4711071
121	167.8796221
122	166.2068235
123	164.2412019
124	162.41367
125	160.4875326
126	158.0719255
127	156.6023236
128	154.7417258
129	152.9709814
130	151.4429922
131	150.0060476
132	148.763176
133	147.2734184
134	145.7932146
135	143.8307051
136	142.5469748
137	141.1341388
138	139.8999806
139	138.7097744
140	137.2637472
141	135.4007685
142	134.2415869
143	133.1351493
144	132.0511156
145	131.1437459
146	129.6904827
147	128.5657551
148	126.9926745
149	125.6733037
150	124.1137
151	123.0410734
152	121.9749718
153	120.9829607
154	119.950539
155	119.0173279
156	117.5519236
157	116.4009599
158	115.6302955
159	114.5931104
160	113.7194774
161	112.6227184
162	111.5938823
163	110.4375929
164	109.8583572
165	109.0036334
166	108.20889
167	107.1968086
168	106.5136676
169	105.498233
170	104.7569265
171	103.8972791
172	103.0205
173	102.3002933
174	101.3614946
175	100.604892
176	99.82628972
177	98.99315054
178	98.16078171
179	97.35693289
180	96.76347374
181	96.12825108
182	95.37286787
183	94.74767705
184	94.1369896
185	93.33459647
186	92.54467303
187	91.83699292
188	91.2596115
189	90.53227825
190	89.91033583
191	89.16471735
192	88.47222293
193	88.0918575
194	87.67260365
195	87.31351158
196	86.69944038
197	86.02187752
198	85.67247152
199	84.99136653
200	84.35554642
201	83.72780951
202	83.26019327
203	82.60250837
204	82.14674753
205	81.47089331
206	81.081257
207	80.43315369
208	80.08951984
209	79.72147622
210	79.1082467
211	78.51012013
212	77.92768088
213	77.34949805
214	76.77392805
215	76.19794827
216	75.6340437
217	75.03814175
218	74.66114345
219	74.34973857
220	74.03963871
221	73.47320726
222	73.19341623
223	72.90899794
224	72.3859624
225	72.11449514
226	71.61208416
227	71.3451243
228	71.03396321
229	70.75210551
230	70.23546642
231	69.92766614
232	69.66863319
233	69.39001518
234	69.10995324
235	68.83064382
236	68.59035159
237	68.31778586
238	68.0710275
239	67.58503188
240	67.10733036
241	66.85426809
242	66.35643562
243	66.1004624
244	65.87764641
245	65.55685736
246	65.30818446
247	65.07638978
248	64.58407134
249	64.26189805
250	64.03167189
251	63.61678292
252	63.16239344
253	62.93112701
254	62.57606812
255	62.22641029
256	61.86746897
257	61.54192245
258	61.29251639
259	61.07525055
260	60.86035318
261	60.51394028
262	60.11566303
263	59.77835689
264	59.57223787
265	59.36837084
266	59.16665391
267	58.84281935
268	58.64545603
269	58.45019356
270	58.25716143
271	58.06625066
272	57.87736977
273	57.68997756
274	57.50516788
275	57.14750148
276	56.77585903
277	56.46026305
278	56.20595909
279	55.8138807
280	55.63830589
281	55.35030629
282	54.96456802
283	54.706525
284	54.45198836
285	54.28411966
286	54.11797817
287	53.95374121
288	53.66888933
289	53.28973829
290	53.04881478
291	52.69274656
292	52.46179505
293	52.09642245
294	51.73503536
295	51.3708565
296	51.02098097
297	50.7962988
298	50.5804747
299	50.28832098
300	49.96416485
301	49.81563039
302	49.60366942
303	49.40598333
304	49.22453459
305	49.08053205
306	48.93812443
307	48.79728849
308	48.49692983
309	48.35864567
310	48.04295816
311	47.86709256
312	47.56145973
313	47.36842898
314	47.05179411
315	46.88281349
316	46.68777004
317	46.55670022
318	46.39255075
319	46.21789493
320	46.08955136
321	45.7864332
322	45.48950287
323	45.36398298
324	45.11660234
325	44.91127544
326	44.7881224
327	44.51365218
328	44.39288175
329	44.24203571
330	44.06830034
331	43.8485171
332	43.73072866
333	43.45434637
334	43.21468566
335	43.04893619
336	42.93446903
337	42.69673925
338	42.44536883
339	42.2057083
340	41.97297469
341	41.83760327
342	41.72709136
343	41.57159722
344	41.46312524
345	41.35581984
346	41.11915871
347	40.96877376
348	40.72444231
349	40.57731383
350	40.37603109
351	40.27291848
352	40.17091986
353	40.07008223
354	39.85668158
355	39.75714191
356	39.59838208
357	39.38005094
358	39.16658493
359	39.00242948
360	38.80348094
361	38.64329282
362	38.54732909
363	38.45246383
364	38.24742129
365	38.1009341
366	38.00815387
367	37.79301482
368	37.66406735
369	37.52209279
370	37.43160075
371	37.23604954
372	37.09747838
373	37.00862857
374	36.81877717
375	36.69623192
376	36.60966938
377	36.50687056
378	36.32048232
379	36.20208896
380	36.02899099
381	35.94193512
382	35.82672148
383	35.65813878
384	35.57318445
385	35.44473216
386	35.28221234
387	35.19882991
388	35.03675042
389	34.95800924
390	34.80150029
391	34.67916597
392	34.59860978
393	34.49346055
394	34.33700344
395	34.21854533
396	34.14020203
397	33.99178137
398	33.84237512
399	33.72228932
400	33.60124214
401	33.45720948
402	33.33966649
403	33.20228877
404	33.08793205
405	32.95382728
406	32.84207072
407	32.73218053
408	32.62955393
409	32.51172936
410	32.44310593
411	32.37002203
412	32.25448271
413	32.18219953
414	32.11560644
415	32.00937842
416	31.9387646
417	31.82608888
418	31.75624036
419	31.69173916
420	31.58837238
421	31.52486102
422	31.41439501
423	31.34654124
424	31.24587178
425	31.17901458
426	31.11747136
427	31.01027061
